,FECHA,MUNICIPIO RESIDENCIA,CASOS
279,2020-03-31,Tlalpan,6
280,2020-03-31,Tláhuac,3
281,2020-03-31,Venustiano Carranza,5
282,2020-03-31,Xochimilco,3
283,2020-03-31,Álvaro Obregón,5
284,2020-04-01,Azcapotzalco,26
285,2020-04-01,Benito Juárez,9
286,2020-04-01,Coyoacán,7
287,2020-04-01,Cuajimalpa de Morelos,47
288,2020-04-01,Cuauhtémoc,5
289,2020-04-01,Gustavo A. Madero,24
290,2020-04-01,Iztacalco,11
291,2020-04-01,Iztapalapa,10
292,2020-04-01,La Magdalena Contreras,12
293,2020-04-01,Miguel Hidalgo,10
294,2020-04-01,Milpa Alta,3
295,2020-04-01,Tlalpan,4
296,2020-04-01,Tláhuac,1
297,2020-04-01,Venustiano Carranza,4
298,2020-04-01,Xochimilco,8
299,2020-04-01,Álvaro Obregón,8
300,2020-04-02,Azcapotzalco,22
301,2020-04-02,Benito Juárez,7
302,2020-04-02,Coyoacán,7
303,2020-04-02,Cuajimalpa de Morelos,32
304,2020-04-02,Cuauhtémoc,4
305,2020-04-02,Gustavo A. Madero,22
306,2020-04-02,Iztacalco,29
307,2020-04-02,Iztapalapa,13
308,2020-04-02,La Magdalena Contreras,9
309,2020-04-02,Miguel Hidalgo,7
310,2020-04-02,Tlalpan,4
311,2020-04-02,Tláhuac,5
312,2020-04-02,Venustiano Carranza,5
313,2020-04-02,Xochimilco,5
314,2020-04-02,Álvaro Obregón,8
315,2020-04-03,Azcapotzalco,15
316,2020-04-03,Benito Juárez,15
317,2020-04-03,Coyoacán,11
318,2020-04-03,Cuajimalpa de Morelos,41
319,2020-04-03,Cuauhtémoc,6
320,2020-04-03,Gustavo A. Madero,25
321,2020-04-03,Iztacalco,15
322,2020-04-03,Iztapalapa,14
323,2020-04-03,La Magdalena Contreras,19
324,2020-04-03,Milpa Alta,4
325,2020-04-03,Tlalpan,7
326,2020-04-03,Tláhuac,1
327,2020-04-03,Venustiano Carranza,8
328,2020-04-03,Xochimilco,9
329,2020-04-03,Álvaro Obregón,9
330,2020-04-04,Azcapotzalco,4
331,2020-04-04,Benito Juárez,5
332,2020-04-04,Coyoacán,8
333,2020-04-04,Cuajimalpa de Morelos,25
334,2020-04-04,Cuauhtémoc,6
335,2020-04-04,Gustavo A. Madero,18
336,2020-04-04,Iztacalco,12
337,2020-04-04,Iztapalapa,19
338,2020-04-04,La Magdalena Contreras,4
339,2020-04-04,Miguel Hidalgo,4
340,2020-04-04,Tlalpan,2
341,2020-04-04,Tláhuac,4
342,2020-04-04,Venustiano Carranza,8
343,2020-04-04,Xochimilco,3
344,2020-04-04,Álvaro Obregón,3
345,2020-04-05,Azcapotzalco,7
346,2020-04-05,Benito Juárez,4
347,2020-04-05,Coyoacán,10
348,2020-04-05,Cuajimalpa de Morelos,22
349,2020-04-05,Cuauhtémoc,8
350,2020-04-05,Gustavo A. Madero,16
351,2020-04-05,Iztacalco,16
352,2020-04-05,Iztapalapa,12
353,2020-04-05,La Magdalena Contreras,3
354,2020-04-05,Miguel Hidalgo,2
355,2020-04-05,Milpa Alta,3
356,2020-04-05,Tlalpan,5
357,2020-04-05,Tláhuac,3
358,2020-04-05,Venustiano Carranza,7
359,2020-04-05,Xochimilco,7
360,2020-04-05,Álvaro Obregón,4
361,2020-04-06,Azcapotzalco,29
362,2020-04-06,Benito Juárez,10
363,2020-04-06,Coyoacán,22
364,2020-04-06,Cuajimalpa de Morelos,51
365,2020-04-06,Cuauhtémoc,13
366,2020-04-06,Gustavo A. Madero,42
367,2020-04-06,Iztacalco,29
368,2020-04-06,Iztapalapa,24
369,2020-04-06,La Magdalena Contreras,23
370,2020-04-06,Miguel Hidalgo,7
371,2020-04-06,Milpa Alta,1
372,2020-04-06,Tlalpan,8
373,2020-04-06,Tláhuac,4
374,2020-04-06,Venustiano Carranza,18
375,2020-04-06,Xochimilco,11
376,2020-04-06,Álvaro Obregón,13
377,2020-04-07,Azcapotzalco,26
378,2020-04-07,Benito Juárez,11
379,2020-04-07,Coyoacán,16
380,2020-04-07,Cuajimalpa de Morelos,34
381,2020-04-07,Cuauhtémoc,9
382,2020-04-07,Gustavo A. Madero,39
383,2020-04-07,Iztacalco,23
384,2020-04-07,Iztapalapa,23
385,2020-04-07,La Magdalena Contreras,20
386,2020-04-07,Miguel Hidalgo,3
387,2020-04-07,Milpa Alta,13
388,2020-04-07,Tlalpan,18
389,2020-04-07,Tláhuac,5
390,2020-04-07,Venustiano Carranza,11
391,2020-04-07,Xochimilco,21
392,2020-04-07,Álvaro Obregón,5
393,2020-04-08,Azcapotzalco,39
394,2020-04-08,Benito Juárez,10
395,2020-04-08,Coyoacán,18
396,2020-04-08,Cuajimalpa de Morelos,47
397,2020-04-08,Cuauhtémoc,18
398,2020-04-08,Gustavo A. Madero,47
399,2020-04-08,Iztacalco,25
400,2020-04-08,Iztapalapa,18
401,2020-04-08,La Magdalena Contreras,26
402,2020-04-08,Miguel Hidalgo,9
403,2020-04-08,Milpa Alta,2
404,2020-04-08,Tlalpan,17
405,2020-04-08,Tláhuac,3
406,2020-04-08,Venustiano Carranza,8
407,2020-04-08,Xochimilco,14
408,2020-04-08,Álvaro Obregón,8
409,2020-04-09,Azcapotzalco,24
410,2020-04-09,Benito Juárez,11
411,2020-04-09,Coyoacán,17
412,2020-04-09,Cuajimalpa de Morelos,49
413,2020-04-09,Cuauhtémoc,13
414,2020-04-09,Gustavo A. Madero,21
415,2020-04-09,Iztacalco,17
416,2020-04-09,Iztapalapa,24
417,2020-04-09,La Magdalena Contreras,23
