date,name,value
1957-01-01,Benito Juarez,25
1957-01-01,Coyoacan,30
1957-01-01,Cuajimalpa de Morelos,112
1957-01-01,Cuauhtemoc,26
1957-01-01,Gustavo A. Madero,83
1957-01-01,Iztacalco,52
1957-01-01,Iztapalapa,111
1957-01-01,La Magdalena Contreras,25
1957-01-01,Miguel Hidalgo,13
1957-01-01,Milpa Alta,27
1957-01-01,Tlalpan,42
1957-01-01,Tlahuac,33
1957-01-01,Venustiano Carranza,44
1957-01-01,Xochimilco,40
1957-01-01,Alvaro Obregon,23
1958-01-01,Azcapotzalco,75
1958-01-01,Benito Juarez,25
1958-01-01,Coyoacan,52
1958-01-01,Cuajimalpa de Morelos,96
1958-01-01,Cuauhtemoc,26
1958-01-01,Gustavo A. Madero,103
1958-01-01,Iztacalco,60
1958-01-01,Iztapalapa,88
1958-01-01,La Magdalena Contreras,26
1958-01-01,Miguel Hidalgo,21
1958-01-01,Milpa Alta,17
1958-01-01,Tlalpan,33
1958-01-01,Tlahuac,22
1958-01-01,Venustiano Carranza,28
1958-01-01,Xochimilco,36
1958-01-01,Alvaro Obregon,32
1959-01-01,Azcapotzalco,61
1959-01-01,Benito Juarez,40
1959-01-01,Coyoacan,44
1959-01-01,Cuajimalpa de Morelos,89
1959-01-01,Cuauhtemoc,32
1959-01-01,Gustavo A. Madero,84
1959-01-01,Iztacalco,103
1959-01-01,Iztapalapa,113
1959-01-01,La Magdalena Contreras,53
1959-01-01,Miguel Hidalgo,28
1959-01-01,Milpa Alta,18
1959-01-01,Tlalpan,43
1959-01-01,Tlahuac,24
1959-01-01,Venustiano Carranza,37
1959-01-01,Xochimilco,54
1959-01-01,Alvaro Obregon,38
1960-01-01,Azcapotzalco,35
1960-01-01,Benito Juarez,20
1960-01-01,Coyoacan,34
1960-01-01,Cuajimalpa de Morelos,54
1960-01-01,Cuauhtemoc,21
1960-01-01,Gustavo A. Madero,62
1960-01-01,Iztacalco,37
1960-01-01,Iztapalapa,66
1960-01-01,La Magdalena Contreras,15
1960-01-01,Miguel Hidalgo,14
1960-01-01,Milpa Alta,19
1960-01-01,Tlalpan,33
1960-01-01,Tlahuac,11
1960-01-01,Venustiano Carranza,16
1960-01-01,Xochimilco,29
1960-01-01,Alvaro Obregon,15
1961-01-01,Azcapotzalco,33
1961-01-01,Benito Juarez,20
1961-01-01,Coyoacan,25
1961-01-01,Cuajimalpa de Morelos,64
1961-01-01,Cuauhtemoc,22
1961-01-01,Gustavo A. Madero,54
1961-01-01,Iztacalco,39
1961-01-01,Iztapalapa,86
1961-01-01,La Magdalena Contreras,18
1961-01-01,Miguel Hidalgo,9
1961-01-01,Milpa Alta,12
1961-01-01,Tlalpan,21
1961-01-01,Tlahuac,18
1961-01-01,Venustiano Carranza,25
1961-01-01,Xochimilco,17
1961-01-01,Alvaro Obregon,21
1962-01-01,Azcapotzalco,77
1962-01-01,Benito Juarez,22
1962-01-01,Coyoacan,39
1962-01-01,Cuajimalpa de Morelos,102
1962-01-01,Cuauhtemoc,39
1962-01-01,Gustavo A. Madero,110
1962-01-01,Iztacalco,115
1962-01-01,Iztapalapa,129
1962-01-01,La Magdalena Contreras,36
1962-01-01,Miguel Hidalgo,23
1962-01-01,Milpa Alta,22
1962-01-01,Tlalpan,44
1962-01-01,Tlahuac,27
1962-01-01,Venustiano Carranza,44
1962-01-01,Xochimilco,43
1962-01-01,Alvaro Obregon,54
1963-01-01,Azcapotzalco,59
1963-01-01,Benito Juarez,32
1963-01-01,Coyoacan,58
1963-01-01,Cuajimalpa de Morelos,90
1963-01-01,Cuauhtemoc,45
1963-01-01,Gustavo A. Madero,115
1963-01-01,Iztacalco,100
1963-01-01,Iztapalapa,129
1963-01-01,La Magdalena Contreras,13
1963-01-01,Miguel Hidalgo,25
1963-01-01,Milpa Alta,25
1963-01-01,Tlalpan,40
1963-01-01,Tlahuac,43
1963-01-01,Venustiano Carranza,45
1963-01-01,Xochimilco,43
1963-01-01,Alvaro Obregon,45
1964-01-01,Azcapotzalco,93
1964-01-01,Benito Juarez,35
1964-01-01,Coyoacan,49
1964-01-01,Cuajimalpa de Morelos,88
1964-01-01,Cuauhtemoc,35
1964-01-01,Gustavo A. Madero,115
1964-01-01,Iztacalco,88
1964-01-01,Iztapalapa,150
1964-01-01,La Magdalena Contreras,32
1964-01-01,Miguel Hidalgo,29
1964-01-01,Milpa Alta,27
